Date,Daily PnL,SL,Initial Target,Final Target,File Path,File Name
2021-12-09,-72.4123575,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2021-12-16,133.42549875,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2021-12-23,29.04875,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2021-12-30,-79.957425,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-01-06,32.7820875,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-01-13,84.96756,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-01-20,-15.95,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-01-27,58.874823750000004,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-02-03,-27.200000000000003,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-02-10,248.979045,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-02-17,-27.200000000000003,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-02-24,10.3,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-03-03,163.24576875,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-03-10,-15.95,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-03-17,10.3,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-03-24,14.049999999999999,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-03-31,10.3,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-04-07,32.7820875,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-04-13,-110.137695,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-04-21,40.237155,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-04-28,25.299999999999997,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-05-05,99.877695,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-05-12,189.338505,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-05-19,-27.200000000000003,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-05-26,6.6000000000000005,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-06-02,47.6922225,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-06-09,133.42549875,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-06-16,-79.957425,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-06-23,-8.35,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
2022-06-30,-27.200000000000003,6648.75,8310.94,13297.5,"NIFTY_candle_5T_range_[50, 66]_delta_0,45_time_10,15.csv",initial_sl_-4001_initial_target_8310_final_target_13297.csv
