DateTime,CE pnl,PE pnl,PnL Combined
2024-08-09 11:02:00,166.0,857.0,1023.0
2024-08-09 11:03:00,150.0,923.0,1073.0
2024-08-09 11:04:00,-84.0,1120.0,1036.0
2024-08-09 11:05:00,75.0,1014.0,1089.0
2024-08-09 11:06:00,67.0,996.0,1063.0
2024-08-09 11:07:00,-85.0,1141.0,1056.0
2024-08-09 11:08:00,-215.0,1257.0,1042.0
2024-08-09 11:09:00,163.0,1184.0,1347.0
2024-08-09 11:10:00,-11.0,1192.0,1181.0
2024-08-09 11:11:00,142.0,1139.0,1281.0
2024-08-09 11:12:00,320.0,1074.0,1394.0
2024-08-09 11:13:00,884.0,928.0,1812.0
2024-08-09 11:14:00,991.0,810.0,1801.0
2024-08-09 11:15:00,967.0,863.0,1830.0
2024-08-09 11:16:00,990.0,794.0,1784.0
2024-08-09 11:17:00,884.0,938.0,1822.0
2024-08-09 11:18:00,817.0,980.0,1797.0
2024-08-09 11:19:00,826.0,943.0,1769.0
2024-08-09 11:20:00,835.0,948.0,1783.0
2024-08-09 11:21:00,764.0,1047.0,1811.0
2024-08-09 11:22:00,719.0,1066.0,1785.0
2024-08-09 11:23:00,734.0,1053.0,1787.0
2024-08-09 11:24:00,691.0,1114.0,1805.0
2024-08-09 11:25:00,709.0,1082.0,1791.0
2024-08-09 11:26:00,421.0,1240.0,1661.0
2024-08-09 11:27:00,702.0,1105.0,1807.0
2024-08-09 11:28:00,938.0,989.0,1927.0
2024-08-09 11:29:00,957.0,980.0,1937.0
2024-08-09 11:30:00,900.0,1048.0,1948.0
2024-08-09 11:31:00,845.0,1066.0,1911.0
2024-08-09 11:32:00,992.0,943.0,1935.0
2024-08-09 11:33:00,938.0,997.0,1935.0
2024-08-09 11:34:00,768.0,1131.0,1899.0
2024-08-09 11:35:00,823.0,1060.0,1883.0
2024-08-09 11:36:00,793.0,1074.0,1867.0
2024-08-09 11:37:00,971.0,973.0,1944.0
2024-08-09 11:38:00,907.0,997.0,1904.0
2024-08-09 11:39:00,832.0,1108.0,1940.0
2024-08-09 11:40:00,866.0,1091.0,1957.0
2024-08-09 11:41:00,913.0,1091.0,2004.0
2024-08-09 11:42:00,864.0,1157.0,2021.0
2024-08-09 11:43:00,569.0,1345.0,1914.0
2024-08-09 11:44:00,848.0,1239.0,2087.0
2024-08-09 11:45:00,917.0,1255.0,2172.0
2024-08-09 11:46:00,849.0,1267.0,2116.0
2024-08-09 11:47:00,683.0,1392.0,2075.0
2024-08-09 11:48:00,715.0,1363.0,2078.0
2024-08-09 11:49:00,699.0,1380.0,2079.0
2024-08-09 11:50:00,729.0,1382.0,2111.0
2024-08-09 11:51:00,709.0,1375.0,2084.0
2024-08-09 11:52:00,728.0,1378.0,2106.0
2024-08-09 11:53:00,857.0,1341.0,2198.0
2024-08-09 11:54:00,662.0,1467.0,2129.0
2024-08-09 11:55:00,608.0,1531.0,2139.0
2024-08-09 11:56:00,459.0,1630.0,2089.0
2024-08-09 11:57:00,477.0,1560.0,2037.0
2024-08-09 11:58:00,689.0,1518.0,2207.0
2024-08-09 11:59:00,771.0,1492.0,2263.0
2024-08-09 12:00:00,723.0,1566.0,2289.0
2024-08-09 12:01:00,700.0,1566.0,2266.0
2024-08-09 12:02:00,935.0,1452.0,2387.0
2024-08-09 12:03:00,1575.0,1294.0,2869.0
2024-08-09 12:04:00,1509.0,1291.0,2800.0
2024-08-09 12:05:00,1521.0,1263.0,2784.0
2024-08-09 12:06:00,1465.0,1309.0,2774.0
2024-08-09 12:07:00,1780.0,1183.0,2963.0
2024-08-09 12:08:00,1696.0,1326.0,3022.0
2024-08-09 12:09:00,1578.0,1501.0,3079.0
2024-08-09 12:10:00,1554.0,1538.0,3092.0
2024-08-09 12:11:00,1586.0,1462.0,3048.0
2024-08-09 12:12:00,1590.0,1421.0,3011.0
2024-08-09 12:13:00,1701.0,1362.0,3063.0
2024-08-09 12:14:00,1837.0,1290.0,3127.0
2024-08-09 12:15:00,1796.0,1294.0,3090.0
2024-08-09 12:16:00,1822.0,1308.0,3130.0
2024-08-09 12:17:00,1802.0,1349.0,3151.0
2024-08-09 12:18:00,1813.0,1309.0,3122.0
2024-08-09 12:19:00,2140.0,1114.0,3254.0
2024-08-09 12:20:00,2096.0,1090.0,3186.0
2024-08-09 12:21:00,2077.0,1083.0,3160.0
2024-08-09 12:22:00,2053.0,1097.0,3150.0
2024-08-09 12:23:00,2039.0,1180.0,3219.0
2024-08-09 12:24:00,1971.0,1285.0,3256.0
2024-08-09 12:25:00,1956.0,1305.0,3261.0
2024-08-09 12:26:00,2031.0,1184.0,3215.0
2024-08-09 12:27:00,2029.0,1145.0,3174.0
2024-08-09 12:28:00,1924.0,1297.0,3221.0
2024-08-09 12:29:00,1822.0,1454.0,3276.0
