Date,"NIFTY_candle_5T_range_[50, 50]_delta_0,3_time_11,45_pnl_threshold_2846.84.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,35_time_13,00_pnl_threshold_3396.91.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,3_time_13,00_pnl_threshold_2430.59.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,4_time_09,30_pnl_threshold_8944.74.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,35_time_10,15_pnl_threshold_5376.32.csv"
2022-01-27,151.03875,-1393.9125,-1965.6225,2756.9475,-1446.57
2022-02-03,2880.32625,319.2825,2525.145,1167.97875,1863.38625
2022-02-10,2196.135,1205.36625,1205.36625,1530.6375,1781.13375
2022-02-17,173.47125,2379.33375,2379.33375,4334.7,2412.9825
2022-02-24,3018.66,3444.8775,2697.1275,2854.155,2192.39625
2022-03-03,3332.715,3407.49,2457.8475,2398.0275,5437.63125
2022-03-10,-4451.80875,23.9,23.9,726.80625,-3451.31625
2022-03-17,2857.89375,3478.52625,2498.97375,2861.6325,5385.28875
2022-03-24,3033.615,3388.79625,2401.76625,5116.09875,5452.58625
2022-03-31,2083.9725,1164.24,1164.24,2551.31625,1149.285
2022-04-07,-4098.25125,1665.2325,-2375.59875,-1375.10625,-4538.3175
2022-04-13,2495.235,3486.00375,2360.64,1904.5125,4379.565
2022-04-21,2405.505,2936.4075,1983.02625,-844.77,-1529.3175
2022-04-28,-1247.22375,883.83375,883.83375,-1642.155,4652.49375
2022-05-05,3003.705,1283.88,-1901.68125,-1299.88125,584.73375
2022-05-12,1754.9625,296.85,551.085,2540.1,3269.15625
2022-05-19,2977.53375,3400.0125,2697.1275,1725.0525,2409.24375
2022-05-26,797.8425,-427.27125,-427.27125,790.365,-6580.67625
2022-06-02,2857.89375,3411.22875,2427.9375,3056.0475,4188.88875
2022-06-09,-3327.195,-1653.43875,-2477.1525,2704.605,495.00375
2022-06-16,-1175.76,1381.0875,-3297.105,-5437.25625,-2744.20125
2022-06-23,-5113.78875,-6772.5,401.535,-7483.37625,-5309.37375
2022-06-30,2895.28125,3411.22875,2629.83,7329.43875,3235.5075
2022-07-07,2842.93875,2674.695,2431.67625,5987.2275,5164.7025
2022-07-14,-1408.9575,-1518.03375,-1518.03375,-683.03625,1369.87125
2022-07-21,947.3925,240.76875,1437.16875,2069.0175,3803.7975
2022-07-28,2151.27,1874.6025,1874.6025,1945.63875,2999.96625
2022-08-04,2842.93875,-28.6,-28.6,685.68,-2142.40125
2022-08-11,2850.41625,3456.09375,2293.3425,6473.265,5389.0275
2022-08-18,2069.0175,1605.4125,954.87,91.21875,3160.7325
2022-08-25,-6625.81125,-7287.79125,-7287.79125,-2902.17375,-3157.93875
2022-09-01,-404.70375,1635.3225,1635.3225,3628.07625,4316.00625
2022-09-08,2977.53375,1777.395,1777.395,6776.10375,5583.4425
2022-09-15,2775.64125,921.22125,824.01375,-310.6725,5403.9825
2022-09-22,-1739.9475,880.095,-1849.02375,-611.5725,4521.6375
2022-09-29,1792.35,2790.59625,2184.91875,580.995,-1329.97125
2022-10-06,2229.78375,1668.97125,1668.97125,4476.7725,3198.12
2022-10-13,1153.02375,2024.1525,2024.1525,3074.74125,3388.79625
2022-10-20,1463.34,666.98625,666.98625,1941.9,2065.27875
2022-10-27,2214.82875,-3718.365,1519.42125,719.32875,1923.20625
2022-11-03,2416.72125,1740.0075,-446.0775,4353.39375,12.65
2022-11-10,1418.475,1224.06,1224.06,1754.9625,2196.135
2022-11-17,1052.0775,726.80625,405.27375,1971.81,-814.68
2022-11-24,-3048.8625,-3090.23625,-3090.23625,-4376.58375,-3432.51
2022-12-01,-51.14625,-182.79,-182.79,3018.66,2297.08125
2022-12-08,2913.975,2386.81125,2424.19875,4061.77125,2379.33375
2022-12-15,-1597.02,988.51875,988.51875,-179.02875,296.85
2022-12-22,1586.71875,846.44625,816.53625,-667.99125,2741.9925
2022-12-29,-1465.37625,-1905.4425,-1905.4425,-4034.31,-1676.00625
2023-01-05,708.1125,1530.6375,1530.6375,-4180.99875,2427.9375
2023-01-12,2940.14625,132.345,132.345,4708.575,1474.55625
2023-01-19,2656.00125,3407.49,1781.13375,3523.39125,2476.54125
2023-01-25,2629.83,3336.45375,2599.92,2110.14375,745.5
2023-02-02,2850.41625,3474.7875,521.175,5295.55875,5359.1175
2023-02-09,2865.37125,1751.22375,2169.96375,2484.01875,3478.52625
2023-02-16,1949.3775,483.7875,1687.665,2323.2525,1971.81
2023-02-23,1268.925,1519.42125,1519.42125,4682.40375,2192.39625
2023-03-02,1500.7275,1022.1675,1022.1675,2054.0625,2424.19875
2023-03-09,-1108.0575,-100.0425,-100.0425,569.77875,192.165
2023-03-16,2289.60375,1467.07875,1467.07875,-844.77,-1770.0375
2023-03-23,-1089.25125,554.82375,554.82375,1620.3675,-419.74875
2023-03-29,607.16625,-3500.2125,-3500.2125,-1232.17875,-1958.1
2023-04-06,1467.07875,360.40875,360.40875,2379.33375,2446.63125
2023-04-13,1283.88,741.76125,741.76125,12.65,1167.97875
2023-04-20,1781.13375,1758.70125,1369.87125,1915.72875,4099.15875
2023-04-27,80.0025,199.6425,-276.82125,1085.72625,812.7975
2023-05-04,207.12,308.06625,308.06625,-3270.77625,225.81375
2023-05-11,2839.2,2450.37,2465.325,4188.88875,3702.85125
2023-05-18,-359.56875,-513.78,-182.79,72.525,38.87625
2023-05-25,-724.41,-212.88,-212.88,-1450.33125,31.39875
2023-06-01,607.16625,315.54375,315.54375,3093.435,1123.11375
2023-06-08,-2266.5225,652.03125,652.03125,1833.47625,-1672.245
