type,strike,delta,entry_date,expiry_date,entry_price,exit_date,exit_price,exit_reason,Total_Returns
PE,24550.0,-0.17214997433010498,2025-08-28 10:15:00,2025-08-28,26.8,2025-08-28 11:00:00,11.35,Exit for Delta Adjustment,15.450000000000001
PE,24650.0,-0.7838025148951724,2025-08-28 11:00:00,2025-08-28,34.9,2025-08-28 13:05:00,95.65,Exit Max Delta Leg,-60.75000000000001
CE,24600.0,0.06248911613021276,2025-08-28 10:15:00,2025-08-28,30.0,2025-08-28 14:50:00,1.75,Exit for Delta Adjustment,28.25
PE,24550.0,-0.6305424115202487,2025-08-28 10:35:00,2025-08-28,17.15,2025-08-28 15:20:00,55.5,Final Expiry Exit,-38.35
CE,24700.0,0.019785530900090335,2025-08-28 13:05:00,2025-08-28,3.55,2025-08-28 15:20:00,0.2,Final Expiry Exit,3.3499999999999996
CE,24550.0,0.6107568806201583,2025-08-28 14:55:00,2025-08-28,5.3,2025-08-28 15:20:00,0.2,Final Expiry Exit,5.1
CE,23650.0,0.2514534691143143,2025-02-06 10:15:00,2025-02-06,30.25,2025-02-06 15:20:00,0.15,Final Expiry Exit,30.1
PE,23600.0,-0.48795909327327525,2025-02-06 10:15:00,2025-02-06,42.45,2025-02-06 15:20:00,0.95,Final Expiry Exit,41.5
CE,23650.0,0.23650562415896093,2025-02-06 11:20:00,2025-02-06,10.55,2025-02-06 15:20:00,0.15,Final Expiry Exit,10.4
PE,23150.0,-0.837783921003791,2025-02-13 10:15:00,2025-02-13,53.8,2025-02-13 14:10:00,113.55,Exit Max Delta Leg,-59.75
CE,23250.0,0.039669685267315624,2025-02-13 10:15:00,2025-02-13,36.65,2025-02-13 15:20:00,0.1,Final Expiry Exit,36.55
CE,23250.0,0.039669685267315624,2025-02-13 10:30:00,2025-02-13,24.05,2025-02-13 15:20:00,0.1,Final Expiry Exit,23.95
PE,22850.0,-0.07933937053463125,2025-02-13 14:10:00,2025-02-13,4.45,2025-02-13 15:20:00,0.1,Final Expiry Exit,4.3500000000000005
CE,22900.0,0.5163621358293532,2025-02-20 10:15:00,2025-02-20,42.7,2025-02-20 15:20:00,16.85,Final Expiry Exit,25.85
PE,22850.0,-0.2936989812682693,2025-02-20 10:15:00,2025-02-20,32.25,2025-02-20 15:20:00,0.1,Final Expiry Exit,32.15
PE,22800.0,-0.22266315456108388,2025-02-20 11:05:00,2025-02-20,11.35,2025-02-20 15:20:00,0.1,Final Expiry Exit,11.25
CE,22550.0,0.38629779620598864,2025-02-27 10:15:00,2025-02-27,20.6,2025-02-27 15:20:00,0.15,Final Expiry Exit,20.450000000000003
PE,22550.0,-0.6365757488844158,2025-02-27 10:15:00,2025-02-27,22.9,2025-02-27 15:20:00,3.45,Final Expiry Exit,19.45
CE,22600.0,0.2502779526784272,2025-02-27 10:25:00,2025-02-27,7.6,2025-02-27 15:20:00,0.05,Final Expiry Exit,7.55
CE,22350.0,0.8286774956599889,2025-03-06 10:15:00,2025-03-06,30.75,2025-03-06 11:15:00,98.5,Exit Max Delta Leg,-67.75
