date,ce_entry_price,pe_entry_price,combined_entry_price,total_returns
2024-07-18,45.25,55.85,101.1,-42.550000000000004
2024-07-25,29.65,41.0,70.65,19.45
2024-08-01,34.4,25.9,60.3,48.3
2024-08-08,71.35,68.9,140.25,126.05000000000001
2024-08-14,27.55,14.2,41.75,37.150000000000006
2024-08-22,19.25,34.0,53.25,11.550000000000004
2024-08-29,31.25,21.0,52.25,-58.35000000000001
2024-09-05,18.8,17.8,36.6,43.849999999999994
2024-09-12,42.8,67.2,110.0,-253.39999999999998
2024-09-19,33.6,29.1,62.7,39.50000000000001
2024-09-26,39.25,40.3,79.55,17.700000000000006
2024-10-03,36.15,65.85,102.0,29.99999999999999
2024-10-10,18.2,40.95,59.150000000000006,57.4
2024-10-17,20.1,13.45,33.55,38.8
2024-10-24,7.85,15.9,23.75,29.7
2024-10-31,18.1,27.8,45.900000000000006,-2.4499999999999957
2024-11-07,20.35,25.95,46.3,57.650000000000006
2024-11-14,12.55,28.35,40.900000000000006,52.25
2024-11-21,17.4,36.1,53.5,51.800000000000004
2024-11-28,63.05,80.75,143.8,26.400000000000006
2024-12-05,115.95,124.7,240.65,111.54999999999998
2024-12-12,34.3,48.3,82.6,32.65
2024-12-19,19.05,24.3,43.35,58.6
2024-12-26,12.85,28.05,40.9,31.05
2025-01-02,70.4,85.65,156.05,31.550000000000008
2025-01-09,28.25,39.650000000000006,67.9,-11.599999999999994
2025-01-16,17.8,35.95,53.75,42.15
2025-01-23,9.8,11.85,21.65,33.2
2025-01-30,65.8,58.35,124.15,152.7
2025-02-06,14.9,31.7,46.6,55.3
2025-02-13,40.2,30.9,71.1,-10.45000000000001
2025-02-20,37.1,33.949999999999996,71.05,54.05
2025-02-27,11.85,8.2,20.049999999999997,20.9
2025-03-06,27.9,33.0,60.9,-56.05000000000001
2025-03-13,27.2,28.85,56.05,73.85000000000001
2025-03-20,40.85,35.5,76.35,-173.5
2025-03-27,31.9,24.6,56.5,46.95
2025-04-03,13.2,36.05,49.25,4.349999999999994
2025-04-09,19.7,17.85,37.55,43.4
2025-04-17,96.45,78.95,175.4,28.599999999999994
