Filename,Total PnL,Max Drawdown,Max Drawdown Percentage,All Monthly PnL,12M Monthly PnL,Daily 4M PnL ,min pnl ,Max Investment,ROI % ,ROI with DD,Max Drawdown Date,Time to Recover,Peak Date Before Max Drawdown,Total Trades,No. of Winners,No. of Losers,Win %,Loss %,Max Profit,Max Loss,Median PnL,Median Profit,Median Loss,SD,SD Profit,SD Loss,Last 15 Months Max Drawdown,Last 15 Months Max Drawdown Percentage,Last 15 Months Max Drawdown Date,Last 15 Months Time to Recover,Last 15 Months Peak Date Before Max Drawdown,Sortino Ratio,Dmonthly12_PnL_Ratio,Max_Drawdown_Ratio,Dmonthly12_PnL_Z,Max_Drawdown_Z,Win%_Z,Sortino_Ratio_Z,Final_Z_Score
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2_lots_1_exit_full_DTE0.25.csv",-605.8350000000014,2466.6400000000012,296.5335256814837,-43.27392857142869,-105.2004166666667,92.5875,-43.27392857142869,90000,-0.6731500000000018,-0.6551930512452938,2025-01-28,,2024-09-13,60,42,18,70.0,30.0,1120.0349999999996,-1917.42,37.42000000000001,64.64,-102.28999999999999,399.88799519410446,196.31125830752538,540.6012004948478,2466.6400000000012,296.5335256814837,2025-01-28,,2024-09-13,-0.579491736763937,-0.0011688935185185188,0.027407111111111125,0.39759378307902865,0.031943891094289294,0.5999999999999999,0.3533067913130594,2.0189566832977985
"SENSEX_candle_5T_short_0_long_0,5_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,3_lots_4_exit_3_4th_DTE0.25.csv",-3048.1699999999987,8368.619999999997,558.1238078723773,-217.72642857142844,-341.5641666666668,682.4999999999999,-217.72642857142844,360000,-0.8467138888888884,-0.8274781929036189,2025-02-04,,2024-09-13,60,48,12,80.0,20.0,1488.799999999999,-4300.28,113.71000000000001,156.01000000000002,-369.4900000000001,913.2318261529299,258.2817363806973,1537.9642348010796,8368.619999999997,558.1238078723773,2025-02-04,,2024-09-13,-0.8437949330722093,-0.0009487893518518521,0.023246166666666658,0.406553211665641,0.02295597786172695,0.84,0.21047870337146454,2.0140759371753787
"SENSEX_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,3_lots_4_exit_3_4th_DTE0.25.csv",-7867.569999999996,18934.210000000003,653.7378724579638,-561.9692857142858,-851.6674999999999,1021.7324999999998,-561.9692857142858,360000,-2.1854361111111116,-2.0762363999808824,2025-01-28,,2024-09-13,60,47,13,78.33333333333333,21.666666666666668,2027.08,-8778.049999999997,142.23999999999995,217.3400000000001,-357.69000000000017,1643.9079013803203,436.90292988965064,2786.4042165472524,18934.210000000003,653.7378724579638,2025-01-28,,2024-09-13,-0.5892789265689946,-0.0023657430555555554,0.05259502777777778,0.34887554153731914,0.0863514450839305,0.7999999999999998,0.3480178442791105,2.010541940732499
"SENSEX_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,2_lots_3_exit_2_3rd_DTE0.25.csv",-3817.750000000001,10840.675000000001,460.5165620586017,-272.6964285714288,-479.31333333333356,794.0562500000001,-272.6964285714288,270000,-1.4139814814814826,-1.3594006637393252,2025-01-28,,2024-09-13,60,46,14,76.66666666666667,23.333333333333332,1757.7749999999987,-4919.814999999997,102.67500000000001,152.57999999999998,-344.6074999999999,1073.1040845706323,368.0339115224891,1673.7498291498812,10840.675000000001,460.5165620586017,2025-01-28,,2024-09-13,-0.6468687313451998,-0.0017752345679012355,0.04015064814814815,0.37291242691323123,0.05947076791134446,0.7600000000000001,0.3168966099694001,2.010338268971287
"SENSEX_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_4_exit_3_4th_DTE0.25.csv",-6467.710000000006,15751.050000000003,504.4113031838243,-461.97928571428577,-752.5291666666668,1058.1825,-461.97928571428577,360000,-1.7965861111111114,-1.7212752965028326,2025-01-28,,2024-09-13,60,46,14,76.66666666666667,23.333333333333332,3070.8999999999987,-8386.17,126.79999999999998,211.52000000000004,-501.05499999999984,1590.8162774441703,566.9648559700333,2510.4936541509956,15751.050000000003,504.4113031838243,2025-01-28,,2024-09-13,-0.6142135763476989,-0.0020903587962962968,0.043752916666666676,0.3600851685156535,0.06725190445789549,0.7600000000000001,0.3345432877806267,2.0073765518383846
"SENSEX_candle_5T_short_0_long_0,5_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,1_lots_1_exit_full_DTE0.25.csv",-1069.8700000000003,2170.8900000000003,521.5163417534504,-76.41928571428573,-113.98916666666673,163.32500000000002,-76.41928571428573,90000,-1.1887444444444448,-1.1607460880544826,2025-04-08,,2024-09-13,60,48,12,80.0,20.0,390.38,-1344.6799999999998,31.4425,46.254999999999995,-156.54749999999993,260.3837078389081,77.71622310944579,414.4115483639714,2170.8900000000003,521.5163417534504,2025-04-08,,2024-09-13,-0.8359305793525592,-0.001266546296296297,0.024121000000000004,0.3936187875029144,0.024845675308529373,0.84,0.2147285596742384,2.0035016718686234
"SENSEX_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,2_lots_3_exit_2_3rd_DTE0.25.csv",392.11000000000035,6126.135,243.10204227406115,28.007857142857087,-106.6083333333333,423.89125000000024,28.007857142857087,270000,0.14522592592592562,0.14200394323413115,2025-01-28,,2025-01-14,60,42,18,70.0,30.0,1757.7749999999987,-4301.995000000001,82.03499999999997,144.89249999999998,-129.05499999999992,812.0344121439089,378.5265749044377,1129.8481648684199,6126.135,243.10204227406115,2025-01-28,,2025-01-14,-0.6921214435465426,-0.0003948456790123456,0.02268938888888889,0.4291017115553658,0.021753301300359493,0.5999999999999999,0.29244227703598197,1.999790687290988
"SENSEX_candle_5T_short_0_long_1000_entry_14,30_exit_15,00_premium_1st_week_short_sl_2,5_short_pt_0,2_lots_1_exit_full_DTE0.25.csv",-2985.425,5452.2300000000005,549.390124091232,-213.24464285714296,-316.88208333333324,308.475,-213.24464285714296,90000,-3.317138888888891,-3.1276639634296655,2025-01-28,,2024-09-13,60,47,13,78.33333333333333,21.666666666666668,1120.0349999999996,-3446.5599999999995,51.2675,68.265,-197.93,582.2146556441681,186.70043304704393,975.2917050906304,5452.2300000000005,549.390124091232,2025-01-28,,2024-09-13,-0.4954872889155113,-0.003520912037037036,0.06058033333333334,0.30185392376519,0.1036002294469752,0.7999999999999998,0.39870236288528454,1.9969560572034992
"SENSEX_candle_5T_short_0_long_500_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_4_exit_3_4th_DTE0.25.csv",-149.92000000000587,8033.400000000003,294.39745525440145,-10.708571428571897,-193.22166666666718,502.9349999999997,-10.708571428571897,360000,-0.04164444444444627,-0.04073543325144019,2025-01-28,,2024-09-13,60,42,18,70.0,30.0,3070.8999999999987,-5422.220000000003,108.50999999999996,193.19,-209.285,1165.415164383261,587.8350395471964,1575.726120748615,8033.400000000003,294.39745525440145,2025-01-28,,2024-09-13,-0.6921942570263322,-0.0005367268518518532,0.02231500000000001,0.4233263813783343,0.020944596715740147,0.5999999999999999,0.2924029290059922,1.9947847136685861
"SENSEX_candle_5T_short_0_long_0,33_entry_14,30_exit_15,00_premium_1st_week_short_sl_2_short_pt_0,1_lots_1_exit_full_DTE0.25.csv",241.9449999999996,1135.685,135.6479103711047,17.28178571428568,-12.437500000000034,69.93125,17.28178571428568,90000,0.2688277777777772,0.2654777873233735,2025-01-28,,2025-01-14,60,42,18,70.0,30.0,664.4499999999991,-1032.8549999999996,39.37249999999999,66.595,-98.36000000000001,267.05178579160344,136.85557058918747,330.1325817135042,1135.685,135.6479103711047,2025-01-28,,2025-01-14,-0.765505219066891,-0.00013819444444444483,0.012618722222222222,0.43954880323291395,0.0,0.5999999999999999,0.25278606216644384,1.9923348653993576
