type,strike,delta,entry_date,expiry_date,entry_price,exit_date,exit_price,exit_reason,Total_Returns
CE,22650.0,0.4697485326041375,2025-03-07 11:45:00,2025-03-13,127.75,2025-03-07 15:20:00,102.7,Final Expiry Exit,25.049999999999997
PE,22600.0,-0.4746110041379159,2025-03-07 11:45:00,2025-03-13,134.1,2025-03-07 15:20:00,150.8,Final Expiry Exit,-16.700000000000017
CE,22700.0,0.3712781187097366,2025-03-10 11:45:00,2025-03-13,87.95,2025-03-10 15:20:00,33.8,Final Expiry Exit,54.150000000000006
PE,22600.0,-0.49142413041055,2025-03-10 11:45:00,2025-03-13,102.7,2025-03-10 15:20:00,199.4,Final Expiry Exit,-96.7
CE,22950.0,0.1201460117008134,2025-03-10 12:05:00,2025-03-13,15.4,2025-03-10 15:20:00,6.5,Final Expiry Exit,8.9
CE,22500.0,0.5113856880196256,2025-03-11 11:45:00,2025-03-13,86.55,2025-03-11 15:20:00,107.85,Final Expiry Exit,-21.299999999999997
PE,22400.0,-0.35015613168348814,2025-03-11 11:45:00,2025-03-13,95.0,2025-03-11 15:20:00,64.35,Final Expiry Exit,30.650000000000006
PE,22200.0,-0.16122955633613745,2025-03-11 14:15:00,2025-03-13,22.5,2025-03-11 15:20:00,22.5,Final Expiry Exit,0.0
CE,22350.0,0.5079851793457998,2025-03-12 11:45:00,2025-03-13,74.15,2025-03-12 15:20:00,151.55,Final Expiry Exit,-77.4
PE,22350.0,-0.4921162627844054,2025-03-12 11:45:00,2025-03-13,72.85,2025-03-12 15:20:00,27.85,Final Expiry Exit,44.99999999999999
CE,22450.0,0.040149937162364265,2025-03-13 11:45:00,2025-03-13,27.2,2025-03-13 15:20:00,0.15,Final Expiry Exit,27.05
PE,22400.0,0.0,2025-03-13 11:45:00,2025-03-13,28.85,2025-03-13 15:20:00,2.05,Final Expiry Exit,26.8
PE,22450.0,0.0,2025-03-13 12:55:00,2025-03-13,23.25,2025-03-13 15:20:00,51.75,Final Expiry Exit,-28.5
CE,22550.0,0.44263873944944454,2025-03-17 11:45:00,2025-03-20,116.0,2025-03-17 15:20:00,104.8,Final Expiry Exit,11.200000000000003
PE,22500.0,-0.4916077298505897,2025-03-17 11:45:00,2025-03-20,94.9,2025-03-17 15:20:00,99.85,Final Expiry Exit,-4.949999999999989
CE,22800.0,0.40580900006244763,2025-03-18 11:45:00,2025-03-20,97.15,2025-03-18 15:20:00,130.3,Final Expiry Exit,-33.150000000000006
PE,22750.0,-0.5186168819381171,2025-03-18 11:45:00,2025-03-20,92.3,2025-03-18 15:20:00,54.9,Final Expiry Exit,37.4
CE,23000.0,0.11280788187566942,2025-03-18 12:30:00,2025-03-20,15.75,2025-03-18 15:20:00,30.95,Final Expiry Exit,-15.2
CE,22900.0,0.5138259270761375,2025-03-19 11:45:00,2025-03-20,83.95,2025-03-19 15:20:00,97.35,Final Expiry Exit,-13.399999999999991
PE,22850.0,-0.3892748519031597,2025-03-19 11:45:00,2025-03-20,63.2,2025-03-19 15:20:00,51.75,Final Expiry Exit,11.450000000000003
PE,22600.0,-0.12455107517297781,2025-03-19 12:00:00,2025-03-20,13.45,2025-03-19 15:20:00,13.4,Final Expiry Exit,0.049999999999998934
PE,23050.0,-0.22674399924220612,2025-03-20 11:45:00,2025-03-20,29.25,2025-03-20 12:55:00,10.6,Exit for Delta Adjustment,18.65
CE,23050.0,0.0,2025-03-20 11:45:00,2025-03-20,40.85,2025-03-20 15:20:00,143.0,Final Expiry Exit,-102.15
PE,22900.0,-0.04618670432088251,2025-03-20 11:45:00,2025-03-20,6.25,2025-03-20 15:20:00,0.15,Final Expiry Exit,6.1
CE,23400.0,0.3854711917323179,2025-03-21 11:45:00,2025-03-27,112.45,2025-03-21 15:20:00,114.75,Final Expiry Exit,-2.299999999999997
PE,23300.0,-0.4948517698730629,2025-03-21 11:45:00,2025-03-27,119.85,2025-03-21 15:20:00,97.25,Final Expiry Exit,22.599999999999994
CE,23700.0,0.10938057814074498,2025-03-21 13:55:00,2025-03-27,17.95,2025-03-21 15:20:00,23.4,Final Expiry Exit,-5.449999999999999
CE,23650.0,0.5187600570565916,2025-03-24 11:45:00,2025-03-27,117.05,2025-03-24 15:20:00,162.6,Final Expiry Exit,-45.55
PE,23550.0,-0.36737341735759454,2025-03-24 11:45:00,2025-03-27,115.4,2025-03-24 15:20:00,75.55,Final Expiry Exit,39.85000000000001
PE,23300.0,-0.15138663969899702,2025-03-24 13:15:00,2025-03-27,30.1,2025-03-24 15:20:00,28.75,Final Expiry Exit,1.3500000000000014
CE,23700.0,0.4424305459140681,2025-03-25 11:45:00,2025-03-27,111.75,2025-03-25 15:20:00,117.9,Final Expiry Exit,-6.150000000000006
PE,23650.0,-0.5007658630484066,2025-03-25 11:45:00,2025-03-27,103.15,2025-03-25 15:20:00,75.95,Final Expiry Exit,27.200000000000003
CE,24250.0,0.05833531713433854,2025-03-25 11:45:00,2025-03-27,9.4,2025-03-25 15:20:00,5.8,Final Expiry Exit,3.6000000000000005
CE,23650.0,0.4146987858019554,2025-03-26 11:45:00,2025-03-27,101.3,2025-03-26 15:20:00,32.0,Final Expiry Exit,69.3
PE,23600.0,-0.5157670200372608,2025-03-26 11:45:00,2025-03-27,57.9,2025-03-26 15:20:00,127.95,Final Expiry Exit,-70.05000000000001
CE,23950.0,0.10106823423530542,2025-03-26 12:00:00,2025-03-27,10.95,2025-03-26 15:20:00,4.95,Final Expiry Exit,5.999999999999999
CE,23600.0,0.5887886373297124,2025-03-27 11:45:00,2025-03-27,31.9,2025-03-27 15:20:00,0.3,Final Expiry Exit,31.599999999999998
PE,23600.0,-0.4023395203302873,2025-03-27 11:45:00,2025-03-27,16.0,2025-03-27 15:20:00,8.9,Final Expiry Exit,7.1
PE,23550.0,-0.18644911699942512,2025-03-27 11:45:00,2025-03-27,8.6,2025-03-27 15:20:00,0.35,Final Expiry Exit,8.25
CE,23650.0,0.39633504924403345,2025-03-28 11:45:00,2025-04-03,112.65,2025-03-28 15:20:00,61.7,Final Expiry Exit,50.95
PE,23550.0,-0.483588348572397,2025-03-28 11:45:00,2025-04-03,116.55,2025-03-28 15:20:00,132.6,Final Expiry Exit,-16.049999999999997
CE,24050.0,0.08725329932836356,2025-03-28 12:25:00,2025-04-03,15.7,2025-03-28 15:20:00,10.2,Final Expiry Exit,5.5
CE,23250.0,0.3590657777506268,2025-04-01 11:45:00,2025-04-03,96.95,2025-04-01 15:20:00,83.25,Final Expiry Exit,13.700000000000003
PE,23150.0,-0.5040467429856308,2025-04-01 11:45:00,2025-04-03,85.35,2025-04-01 15:20:00,74.3,Final Expiry Exit,11.049999999999997
CE,23450.0,0.14498096523500398,2025-04-01 14:20:00,2025-04-03,21.65,2025-04-01 15:20:00,23.0,Final Expiry Exit,-1.3500000000000014
CE,23300.0,0.40057093769623886,2025-04-02 11:45:00,2025-04-03,56.25,2025-04-02 15:20:00,76.95,Final Expiry Exit,-20.700000000000003
PE,23250.0,-0.49993250229970115,2025-04-02 11:45:00,2025-04-03,76.1,2025-04-02 15:20:00,50.9,Final Expiry Exit,25.199999999999996
CE,23550.0,0.0993615646034623,2025-04-02 13:00:00,2025-04-03,8.4,2025-04-02 15:20:00,13.85,Final Expiry Exit,-5.449999999999999
PE,23300.0,-0.800594885364904,2025-04-03 11:45:00,2025-04-03,36.05,2025-04-03 14:35:00,51.35,Exit Max Delta Leg,-15.300000000000004
CE,23300.0,0.0699803782039486,2025-04-03 11:45:00,2025-04-03,9.0,2025-04-03 15:20:00,0.15,Final Expiry Exit,8.85
CE,23350.0,0.035798449243221724,2025-04-03 11:45:00,2025-04-03,4.2,2025-04-03 15:20:00,0.1,Final Expiry Exit,4.1000000000000005
PE,23200.0,-0.10577882744717032,2025-04-03 14:35:00,2025-04-03,1.65,2025-04-03 15:20:00,0.15,Final Expiry Exit,1.5
CE,23050.0,0.36728349145442113,2025-04-04 11:45:00,2025-04-09,90.15,2025-04-04 15:20:00,54.95,Final Expiry Exit,35.2
PE,22950.0,-0.49166658830333826,2025-04-04 11:45:00,2025-04-09,126.0,2025-04-04 15:20:00,155.35,Final Expiry Exit,-29.349999999999994
CE,23300.0,0.12438309684891713,2025-04-04 13:15:00,2025-04-09,18.85,2025-04-04 15:20:00,14.75,Final Expiry Exit,4.100000000000001
CE,22100.0,0.39936144992197525,2025-04-07 11:45:00,2025-04-09,244.6,2025-04-07 15:20:00,369.35,Final Expiry Exit,-124.75000000000003
PE,21900.0,-0.49525814277463664,2025-04-07 11:45:00,2025-04-09,239.15,2025-04-07 15:20:00,218.2,Final Expiry Exit,20.950000000000017
CE,22750.0,0.09589669285266139,2025-04-07 12:15:00,2025-04-09,29.5,2025-04-07 15:20:00,59.95,Final Expiry Exit,-30.450000000000003
CE,22450.0,0.5066532007663871,2025-04-08 11:45:00,2025-04-09,147.15,2025-04-08 15:20:00,238.45,Final Expiry Exit,-91.29999999999998
PE,22300.0,-0.37585122151232214,2025-04-08 11:45:00,2025-04-09,170.2,2025-04-08 15:20:00,98.0,Final Expiry Exit,72.19999999999999
PE,21700.0,-0.13080197925406495,2025-04-08 12:05:00,2025-04-09,47.0,2025-04-08 15:20:00,21.3,Final Expiry Exit,25.7
CE,22450.0,0.11086616212629913,2025-04-09 11:45:00,2025-04-09,19.7,2025-04-09 15:20:00,0.15,Final Expiry Exit,19.55
PE,22400.0,-0.5041345516881706,2025-04-09 11:45:00,2025-04-09,17.85,2025-04-09 15:20:00,0.85,Final Expiry Exit,17.0
CE,22400.0,0.39326838956187143,2025-04-09 14:00:00,2025-04-09,7.0,2025-04-09 15:20:00,0.15,Final Expiry Exit,6.85
CE,22950.0,0.4481612370216643,2025-04-11 11:45:00,2025-04-17,184.7,2025-04-11 15:20:00,198.75,Final Expiry Exit,-14.050000000000011
PE,22850.0,-0.48171299651980054,2025-04-11 11:45:00,2025-04-17,184.6,2025-04-11 15:20:00,254.25,Final Expiry Exit,-69.65
CE,23350.0,0.4369230666799454,2025-04-15 11:45:00,2025-04-17,92.05,2025-04-15 15:20:00,79.5,Final Expiry Exit,12.549999999999997
PE,23300.0,-0.4901499031991896,2025-04-15 11:45:00,2025-04-17,100.1,2025-04-15 15:20:00,100.0,Final Expiry Exit,0.09999999999999432
CE,23900.0,0.0532268365192442,2025-04-15 11:50:00,2025-04-17,7.6,2025-04-15 15:20:00,6.6,Final Expiry Exit,1.0
CE,23350.0,0.5146456231905091,2025-04-16 11:45:00,2025-04-17,60.7,2025-04-16 15:20:00,101.3,Final Expiry Exit,-40.599999999999994
PE,23300.0,-0.40653762981130537,2025-04-16 11:45:00,2025-04-17,79.65,2025-04-16 15:20:00,44.6,Final Expiry Exit,35.050000000000004
PE,23050.0,-0.10810799337920374,2025-04-16 12:25:00,2025-04-17,15.75,2025-04-16 15:20:00,10.8,Final Expiry Exit,4.949999999999999
CE,23600.0,0.8078500745754641,2025-04-17 11:45:00,2025-04-17,96.45,2025-04-17 12:50:00,154.55,Exit Max Delta Leg,-58.10000000000001
PE,23550.0,-0.10049369105119732,2025-04-17 11:45:00,2025-04-17,78.95,2025-04-17 15:20:00,0.2,Final Expiry Exit,78.75
PE,23250.0,-0.026228051581991162,2025-04-17 11:50:00,2025-04-17,12.4,2025-04-17 15:20:00,0.15,Final Expiry Exit,12.25
CE,23850.0,0.12672174263318847,2025-04-17 12:50:00,2025-04-17,7.0,2025-04-17 15:20:00,1.65,Final Expiry Exit,5.35
CE,25850.0,0.4114896388304417,2024-10-01 11:45:00,2024-10-03,73.9,2024-10-01 15:20:00,55.1,Final Expiry Exit,18.800000000000004
PE,25800.0,-0.5131700102906124,2024-10-01 11:45:00,2024-10-03,82.35,2024-10-01 15:20:00,66.75,Final Expiry Exit,15.599999999999994
CE,26150.0,0.10168037146017067,2024-10-01 11:45:00,2024-10-03,10.6,2024-10-01 15:20:00,4.75,Final Expiry Exit,5.85
PE,25400.0,-0.8806865518736593,2024-10-03 11:45:00,2024-10-03,65.85,2024-10-03 13:40:00,111.85,Exit Max Delta Leg,-46.0
CE,25450.0,0.09126677014337087,2024-10-03 11:45:00,2024-10-03,36.15,2024-10-03 15:20:00,0.1,Final Expiry Exit,36.05
CE,25600.0,0.03586107644936016,2024-10-03 12:00:00,2024-10-03,11.1,2024-10-03 15:20:00,0.05,Final Expiry Exit,11.049999999999999
PE,25200.0,-0.12712784659273102,2024-10-03 13:40:00,2024-10-03,7.75,2024-10-03 15:20:00,0.15,Final Expiry Exit,7.6
